backbone,eps,eps_tag,rho10,tau10,lambda10,R10,n10,R100,n100,DeltaR_10_100
clip_rn50,0.00196078431372549,eps050centi_255,0.22111491029491503,-0.6649439930915833,0.09862616658210754,0.8225616921269095,851,0.0,851,0.8225616921269095
clip_vit_l14,0.00196078431372549,eps050centi_255,0.22081885969223158,-0.6285309195518494,0.22220748662948608,16.894018887722982,953,1.6789087093389297,953,15.215110178384052
clip_vitb16,0.00196078431372549,eps050centi_255,0.39161743129937143,-0.28409504890441895,0.3506131172180176,6.637649619151251,919,1.1969532100108813,919,5.44069640914037
convnext_base,0.00196078431372549,eps050centi_255,0.7088614171050475,0.22710150480270386,1.2187905311584473,43.18418314255983,961,21.019771071800207,961,22.164412070759624
convnext_large,0.00196078431372549,eps050centi_255,0.48122697278975,-0.23972269892692566,0.7252301573753357,45.717234262125906,969,21.568627450980394,969,24.148606811145513
convnext_small,0.00196078431372549,eps050centi_255,0.5602189972621527,-0.06211064010858536,0.704693078994751,33.47150259067357,965,17.409326424870468,965,16.062176165803105
convnext_tiny,0.00196078431372549,eps050centi_255,0.59508342776598,-0.05833755061030388,0.6085321307182312,24.554039874081845,953,10.807974816369361,953,13.746065057712483
deit3_large_patch16_224,0.00196078431372549,eps050centi_255,0.4827826169777283,0.0180217232555151,2.0131049156188965,74.05128205128206,975,54.666666666666664,975,19.384615384615394
deit3_medium_patch16_224,0.00196078431372549,eps050centi_255,0.8974213561577585,0.43545791506767273,0.9411321878433228,15.789473684210526,950,5.7894736842105265,950,10.0
deit3_small_patch16_224,0.00196078431372549,eps050centi_255,0.5382867847748156,0.1469906121492386,1.0370336174964905,41.54334038054968,946,24.418604651162788,946,17.12473572938689
deit3_vitb16,0.00196078431372549,eps050centi_255,0.5313082593408502,0.21655668318271637,1.8708746433258057,61.6822429906542,963,45.37902388369678,963,16.30321910695742
deit_base_patch16_224,0.00196078431372549,eps050centi_255,0.6827535734293662,0.26335927844047546,1.2105871438980103,39.979013641133264,953,17.94333683105981,953,22.035676810073454
deit_small_patch16_224,0.00196078431372549,eps050centi_255,0.5245543548424674,0.06903373077511787,1.0176215171813965,41.30901287553648,932,24.034334763948497,932,17.274678111587985
deit_tiny,0.00196078431372549,eps050centi_255,0.42728470589169376,0.003950635436922312,0.5764145851135254,22.033898305084744,885,12.88135593220339,885,9.152542372881355
densenet121,0.00196078431372549,eps050centi_255,0.3433407247335829,-0.1437455117702484,0.4437269866466522,17.233809001097693,911,10.757409440175632,911,6.4763995609220615
densenet201,0.00196078431372549,eps050centi_255,0.2900376288990927,-0.15576066076755524,0.4652983844280243,15.931108719052745,929,11.08719052744887,929,4.8439181916038745
dino_resnet50,0.00196078431372549,eps050centi_255,0.341752297506174,-0.18826475739479065,0.3867637515068054,10.4847801578354,887,5.636978579481398,887,4.8478015783540025
dino_vitb16,0.00196078431372549,eps050centi_255,0.16705832789168484,0.02811693213880062,1.2264243364334106,57.906215921483096,917,54.52562704471101,917,3.3805888767720873
dino_vitb8,0.00196078431372549,eps050centi_255,0.19168229950714544,0.1450275331735611,1.3125097155570984,54.40860215053763,930,49.78494623655914,930,4.623655913978489
dino_vits16,0.00196078431372549,eps050centi_255,0.19848280901300308,0.05512697622179985,0.9915881752967834,45.324532453245325,909,41.36413641364136,909,3.960396039603964
dinov2_vitb14,0.00196078431372549,eps050centi_255,0.42368820213809544,0.17628152668476105,1.001137137413025,39.56386292834891,963,26.791277258566975,963,12.772585669781936
